title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
My House,2023-03-07,"Horror, Mystery, Thriller","Carla lives life locked inside her house with her kind but tyrannical father. When their isolation is interrupted by a mysterious stranger, Carla questions the reasons for her family's withdrawal from the outside world and discovers dark secrets that redefine their existence.",English,100.0,98.0,1840.0,0.7499999999999999,91.0,4.7657127631225915,-0.008961514018269863,-10.0,2872.5,1933.0,-2.178571428571428,91.0
Bottoms,2023-08-25,Comedy,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,English,44.0,100.0,639.0,2.464285714285714,67.0,5.465206375391837,0.6653439234101269,8.0,823.5,1373.0,-7.357142857142858,76.0
Jaane Jaan,2023-09-21,"Crime, Thriller","When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.","English, Hindi",8.0,100.0,55.5,0.7142857142857142,83.0,1.6983385238216198,2.0911595559064913,2.0,454.0,629.5,-11.60714285714285,28.0
Marvel Studios Assembled: The Making of Secret Invasion,2023-09-20,Documentary,"Through in-depth interviews with cast and crew, and exclusive behind-the-scenes footage, Assembled uncovers how Marvel Studios’ “Secret Invasion” was born. Witness what it took to conjure the world of the show, and spend time with Samuel L. Jackson as he dons the patch once again to engage in the most baffling battle of Nick Fury’s career.",English,,,,,,,,,,,,
The Out-Laws,2023-07-07,"Romance, Action, Comedy","A straight-laced bank manager is about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",English,6.0,100.0,27.5,0.8571428571428569,51.0,1.4677176197545183,1.99224704908502,1.0,584.5,660.0,-12.535714285714283,30.0
Cocaine Bear,2023-02-22,"Thriller, Comedy, Crime","Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",English,22.0,100.0,243.5,1.6785714285714284,27.0,4.178554470186725,2.0365157212639766,3.0,612.5,811.0,-11.499999999999995,31.0
Aquaman and the Lost Kingdom,2023-12-14,"Action, Adventure, Fantasy","Black Manta, still driven by the need to avenge his father's death and wielding the power of the mythic Black Trident, will stop at nothing to take Aquaman down once and for all. To defeat him, Aquaman must turn to his imprisoned brother Orm, the former King of Atlantis, to forge an unlikely alliance in order to save the world from irreversible destruction.",English,10.0,100.0,144.0,0.1428571428571428,11.0,1.3316315670580536,1.223399792045725,7.0,830.0,1017.5,-7.571428571428569,100.0
Big Sur Gay Porn,2023-06-16,Documentary,Cult filmmaker Tom DeSimone (Reform School Girls; Erotikus: A History of the Gay Movie) revisits the production of a lost gay film and resurrects youthful adventures on the California coast. From the creators of Raw! Uncut! Video!.,English,100.0,0.0,100.0,0.0,0.0,21.295885499998,6.326437348445775,-12.0,50.0,0.0,-10.714285714285714,0.0
Winnie the Pooh: Blood and Honey,2023-01-27,"Horror, Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.","English, Portuguese",16.0,100.0,152.0,0.6785714285714284,27.0,2.2807485742529616,2.0612742373099833,20.0,97.0,765.5,-5.999999999999999,25.0
Pillow Party Massacre,2023-02-03,"Horror, Thriller","After a bullying incident leads to tragedy, four former High school friends reconnect at a vacation home where a maniacal killer stalks the night.",English,100.0,0.0,100.0,0.0,0.0,21.295885499998,6.326437348445775,-9.0,50.0,0.0,-10.714285714285714,0.0
Plane,2023-01-12,"Action, Adventure, Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.","English, Turkish",44.0,100.0,831.5,0.10714285714285711,48.0,1.8405855323893037,2.9505940148561374,3.0,985.5,1159.5,-9.07142857142857,54.0
Sitting in Bars with Cake,2023-09-07,"Romance, Comedy, Drama","Extrovert Corinne convinces Jane, a shy, talented baker, to commit to a year of bringing cakes to bars, to help her meet people and build confidence. But when Corinne receives a life-altering diagnosis, the pair faces a challenge unlike anything they've experienced before.",English,7.0,100.0,57.0,0.28571428571428564,11.0,2.0811212746106817,1.751914453524946,2.0,666.0,806.5,-12.785714285714286,31.0
Older Gods,2023-03-01,"Horror, Mystery, Thriller","After the disappearance of his troubled friend, American Chris Rivers travels to the remote Welsh countryside to investigate what happened – leading him to a dark apocalyptic cult.",English,100.0,0.0,280.0,0.0,0.0,32.70988394868603,3.3945219323962075,-17.0,139.0,0.0,-4.357142857142857,0.0
Killers of the Flower Moon,2023-10-18,"Crime, Drama, Thriller","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",English,27.0,100.0,232.5,2.357142857142857,39.0,5.462301226944332,1.4805996664394285,3.0,735.0,949.5,-10.82142857142857,43.0
"Red, White & Royal Blue",2023-07-27,"Comedy, Romance","After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.",English,24.0,100.0,165.5,0.1785714285714286,8.0,4.582328275702632,2.310484242442536,15.0,361.5,551.5,-10.785714285714286,5.0
Doraemon: Nobita's Sky Utopia,2023-03-03,"Animation, Adventure, Science Fiction","Doraemon, Nobita and his friends go to find Utopia, a perfect land in the sky where everyone lives with happiness, using an airship having a time warp function.",Japanese,0.0,100.0,0.0,0.0,0.0,0.0,1.529249035970499,1.0,590.5,640.5,-12.642857142857144,36.0
Unwelcome,2023-01-27,Horror,"Londoners Maya and Jamie escape their urban nightmare to the tranquility of rural Ireland only to discover malevolent, murderous goblins lurking in the gnarled, ancient wood at the foot of their new garden. When heavily pregnant Maya’s relationship with a local family turns sour, who – or what – will come to her rescue and to what extremes will she go to protect her unborn child?",English,79.0,100.0,660.5,3.749999999999999,90.0,12.642655365621478,1.637116617593412,1.0,821.5,916.5,-8.821428571428571,35.0
Lost Sofia,2023-07-13,"Romance, Fantasy","A modern and independent girl, but when it comes to love, the only novels in her life are those from Jane Austen's literary universe. After using a borrowed cell phone, something mysterious happens and she is transported to a different world, which resembles the 19th century. Sofia is taken in by the family of the charming Ian Clarke, while desperately trying to find a way to return to her life. What she didn't know is that her heart had other plans.",Portuguese,90.0,100.0,206.5,0.0,82.0,28.112585443488836,1.8997010956552978,5.0,145.0,331.0,-17.499999999999993,0.0
